date,equity
2011-02-09,1.0
2011-02-10,1.0
2011-02-11,1.0
2011-02-14,1.0
2011-02-15,1.0
2011-02-16,1.0
2011-02-17,1.0
2011-02-18,1.0
2011-02-22,1.0
2011-02-23,1.0
2011-02-24,1.0
2011-02-25,1.0
2011-02-28,1.0
2011-03-01,1.0
2011-03-03,1.0
2011-03-04,1.0
2011-03-08,1.0
2011-03-09,1.0
2011-03-10,1.0
2011-03-14,1.0
2011-03-15,1.0
2011-03-17,1.0
2011-03-18,1.0
2011-03-21,1.0
2011-03-22,1.0
2011-03-23,1.0
2011-03-24,1.0
2011-03-25,1.0
2011-03-28,1.0
2011-03-29,1.0
2011-03-30,1.0
2011-03-31,1.0
2011-04-01,1.0
2011-04-04,1.0
2011-04-05,1.0
2011-04-06,1.0
2011-04-07,1.0
2011-04-08,1.0
2011-04-11,1.0
2011-04-12,1.0
2011-04-13,1.0
2011-04-14,1.0
2011-04-15,1.0
2011-04-18,1.0
2011-04-19,1.0
2011-04-20,1.0
2011-04-21,1.0
2011-04-26,1.0
2011-04-27,1.0
2011-04-29,1.0
2011-05-02,1.0
2011-05-03,1.0
2011-05-04,1.0
2011-05-05,1.0
2011-05-06,1.0
2011-05-09,1.0
2011-05-16,1.0
2011-05-17,1.0
2011-05-18,1.0
2011-05-19,1.0
2011-05-20,1.0
2011-05-23,1.0
2011-05-24,1.0
2011-05-25,1.0
2011-05-26,1.0
2011-05-27,1.0
2011-05-31,1.0
2011-06-01,1.0
2011-06-02,1.0
2011-06-03,1.0
2011-06-06,1.0
2011-06-07,1.0
2011-06-08,1.0
2011-06-09,1.0
2011-06-10,1.0
2011-06-13,1.0
2011-06-14,1.0
2011-06-15,1.0
2011-06-16,1.0
2011-06-17,1.0
2011-06-20,1.0
2011-06-21,1.0
2011-06-22,1.0
2011-06-23,1.0
2011-06-24,1.0
2011-06-27,1.0
2011-06-28,1.0
2011-06-29,1.0
2011-06-30,1.0
2011-07-01,1.0
2011-07-06,1.0
2011-07-07,1.0
2011-07-12,1.0
2011-07-13,1.0
2011-07-15,1.0
2011-07-18,1.0
2011-07-19,1.0
2011-07-20,1.0
2011-07-21,1.0
2011-07-22,1.0
2011-07-25,1.0
2011-07-26,1.0
2011-07-27,1.0
2011-07-28,1.0
2011-07-29,1.0
2011-08-01,1.0
2011-08-02,1.0
2011-08-03,1.0
2011-08-04,1.0
2011-08-05,1.0
2011-08-08,1.0
2011-08-09,1.0
2011-08-10,1.0
